nguon,dich,mode,h,model,n_chuoi,mae_p50,mae_p50_naive,ti_so_p50,hieu_p50,n_tot_hon_naive,p,p_holm,co_y_nghia,ket_luan
E3,E1,N0,1,svr,735,0.669980790531732,0.4077071290944123,1.6432893680811385,0.21312521335581358,88,1.3020451660973743e-93,5.208180664389497e-93,True,tệ hơn naive
E3,E1,N0,1,xgb,735,1.0702210770587175,0.4077071290944123,2.6249751370202006,0.6090326670219901,8,8.408465863289089e-120,1.0090159035946906e-118,True,tệ hơn naive
E3,E1,N0,6,lr,735,3.2853070781931613,0.4660801564027368,7.048802728589777,3.0342016756840837,51,1.0757423315016866e-111,4.582300864722964e-111,True,tệ hơn naive
E3,E1,N0,6,rf,735,0.948843670174771,0.4660801564027368,2.0357950389865587,0.4581770167127399,40,4.2173243786095325e-104,8.434648757219065e-104,True,tệ hơn naive
E3,E1,N0,6,ridge,735,3.2869203874195896,0.4660801564027368,7.052264170155708,3.0359767503873134,51,9.16460172944593e-112,4.582300864722964e-111,True,tệ hơn naive
E3,E1,N0,6,svr,735,0.982307287780461,0.4660801564027368,2.1075930272638677,0.36189579537883504,26,1.9307094911879085e-110,5.792128473563725e-110,True,tệ hơn naive
E3,E1,N0,6,xgb,735,2.559340340387653,0.4660801564027368,5.491202114548176,1.567264344615321,11,6.601785182675927e-115,3.961071109605556e-114,True,tệ hơn naive
E3,E1,N0,12,lr,735,4.199976805648844,0.4493532338308457,9.346715433297362,3.9261086536563954,47,4.629487017673495e-111,1.851794807069398e-110,True,tệ hơn naive
E3,E1,N0,12,rf,735,1.1608917062252062,0.4493532338308457,2.5834724640308515,0.6257058875772661,24,1.7663611269142213e-107,3.5327222538284425e-107,True,tệ hơn naive
E3,E1,N0,12,ridge,735,4.203013910477891,0.4493532338308457,9.353474269331889,3.930144448306711,47,3.64989068463377e-111,1.824945342316885e-110,True,tệ hơn naive
E3,E1,N0,12,svr,735,1.065274252737954,0.4493532338308457,2.3706834012436757,0.4093063606509717,23,3.975221623839025e-110,1.1925664871517076e-109,True,tệ hơn naive
E3,E1,N0,12,xgb,735,2.5346028138773664,0.4493532338308457,5.640557634957382,1.6590677006138645,17,3.1054991938383105e-113,1.8632995163029863e-112,True,tệ hơn naive
E3,E1,N1,1,lr,735,0.7108878257054221,0.4077071290944123,1.7436237312907092,0.2502778918892061,1,5.601671198397617e-122,8.402506797596426e-121,True,tệ hơn naive
E3,E1,N1,1,rf,735,0.6387874727214782,0.4077071290944123,1.5667802379132665,0.0773022860752453,231,1.316955926924911e-54,1.316955926924911e-54,True,tệ hơn naive
E3,E1,N1,1,ridge,735,0.7124712133634827,0.4077071290944123,1.7475073711514535,0.25483472904908755,1,5.601671198397617e-122,8.402506797596426e-121,True,tệ hơn naive
E3,E1,N1,1,svr,735,0.5878814799456161,0.4077071290944123,1.4419210212276692,0.1042591275315071,99,4.168475655423762e-90,1.2505426966271286e-89,True,tệ hơn naive
E3,E1,N1,1,xgb,735,9.393182283469384,0.4077071290944123,23.039043502460352,7.095446252640868,22,4.5792515214571076e-120,5.95302697789424e-119,True,tệ hơn naive
E3,E1,N1,6,lr,735,1.7720413533636197,0.4660801564027368,3.8020098668015603,1.1882913438903684,0,5.578828292641069e-122,8.368242438961604e-121,True,tệ hơn naive
E3,E1,N1,6,rf,735,1.281891825889707,0.4660801564027368,2.750367738853127,0.36555029087823576,56,2.1261996086257225e-102,2.1261996086257225e-102,True,tệ hơn naive
E3,E1,N1,6,ridge,735,1.77161791099101,0.4660801564027368,3.801101348455965,1.1703334231197036,0,5.578828292641069e-122,8.368242438961604e-121,True,tệ hơn naive
E3,E1,N1,6,svr,735,1.240249486525184,0.4660801564027368,2.6610218639162415,0.5305758518227783,22,2.531921612746151e-116,1.7723451289223057e-115,True,tệ hơn naive
E3,E1,N1,6,xgb,735,18.96886821386174,0.4660801564027368,40.69872521556327,11.533269124256975,15,2.293106234230913e-119,2.063795610807822e-118,True,tệ hơn naive
E3,E1,N1,12,lr,735,2.5628575379683696,0.4493532338308457,5.703436283565571,1.7731655979383647,0,5.578828292641069e-122,8.368242438961604e-121,True,tệ hơn naive
E3,E1,N1,12,rf,735,4.069048949897628,0.4493532338308457,9.055345869457742,2.03945572201095,18,5.457627020972739e-115,3.820338914680917e-114,True,tệ hơn naive
E3,E1,N1,12,ridge,735,2.562861409454214,0.4493532338308457,5.70344489925041,1.7737140675809098,0,5.578828292641069e-122,8.368242438961604e-121,True,tệ hơn naive
E3,E1,N1,12,svr,735,0.6618903338401741,0.4493532338308457,1.4729844674698298,0.08710666382376861,126,4.505802602745153e-70,4.505802602745153e-70,True,tệ hơn naive
E3,E1,N1,12,xgb,735,27.22822012945127,0.4493532338308457,60.59424541651579,16.724026918122913,1,1.192331779241703e-121,1.192331779241703e-120,True,tệ hơn naive
E3,E1,N2,1,lr,735,0.7348372278429071,0.4077071290944123,1.802365412336809,0.41540829176089844,31,8.802105470035853e-114,6.98631386781932e-113,True,tệ hơn naive
E3,E1,N2,1,rf,735,0.4341188405096639,0.4077071290944123,1.0647810880175594,0.0182346740656861,103,4.5376449468800014e-67,9.075289893760003e-67,True,tệ hơn naive
E3,E1,N2,1,ridge,735,0.7348790180617959,0.4077071290944123,1.8024679129209455,0.4153997582775423,31,8.73289233477415e-114,6.98631386781932e-113,True,tệ hơn naive
E3,E1,N2,1,svr,735,0.4984643114848069,0.4077071290944123,1.2226038641805992,0.06156787948559317,49,3.240107242326196e-98,1.6200536211630982e-97,True,tệ hơn naive
E3,E1,N2,1,xgb,735,0.6644767411017292,0.4077071290944123,1.629789360263693,0.28446619566214826,38,1.0426118984337626e-111,6.255671390602576e-111,True,tệ hơn naive
E3,E1,N2,6,lr,735,0.5736687391284814,0.4660801564027368,1.2308370808062852,0.11269488984360242,7,1.7435102998815076e-120,2.092212359857809e-119,True,tệ hơn naive
E3,E1,N2,6,rf,735,0.5430748925746401,0.4660801564027368,1.165196340402385,0.07438926186130991,15,2.3459626209888492e-117,1.8767700967910793e-116,True,tệ hơn naive
E3,E1,N2,6,ridge,735,0.5736115430474451,0.4660801564027368,1.2307143635434912,0.112594347787713,8,1.757745979484781e-120,2.092212359857809e-119,True,tệ hơn naive
E3,E1,N2,6,svr,735,0.5434100724072171,0.4660801564027368,1.1659154867294113,0.041832882959410095,8,9.333251198865684e-122,1.2133226558525388e-120,True,tệ hơn naive
