xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,ti_so_p50_xuoi,ti_so_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan
E1->E2,E2->E1,N0,12,xgb,302,730,1.2836155943166638,1.4778325264357761,-0.12685294384468837,0.0013288742022899824,0.02790635824808963,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,12,svr,302,730,1.0003650545232121,1.0765731477388565,-0.12115576521818017,0.0021729677203277246,0.04345935440655449,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,1,lr,302,730,0.9826403787284439,1.011294275076362,-0.06779461126735009,0.08628922761994479,0.5169786632567566,False,không khác
E1->E2,E2->E1,N1,1,ridge,302,730,0.982684179963068,1.011294289680173,-0.06782182708881435,0.08616311054279277,0.5169786632567566,False,không khác
E1->E2,E2->E1,N1,1,rf,302,730,0.9528237127066304,0.9888094046828104,-0.1200762043000998,0.002379984087019317,0.04521969765336702,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,1,xgb,302,730,0.9953553351598543,1.0015078400118602,-0.07467114215730741,0.05885114321093696,0.41195800247655867,False,không khác
E1->E2,E2->E1,N1,1,svr,302,730,0.9780200260231883,1.0223022431014213,-0.07799147237594117,0.04845926537716255,0.3876741230173004,False,không khác
E1->E2,E2->E1,N1,6,lr,302,730,0.9645906112370318,1.0131035980705674,-0.1179442982854032,0.0028427175796974973,0.05116891643455495,False,không khác
E1->E2,E2->E1,N1,6,ridge,302,730,0.9645905888252615,1.0131035950894536,-0.1179442982854032,0.0028427175796974973,0.05116891643455495,False,không khác
E1->E2,E2->E1,N1,6,rf,302,730,0.8845958326020606,0.95835948812578,-0.15066678762587316,0.00013771507544226163,0.0034428768860565407,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,6,xgb,302,730,0.8942249328095695,0.965476837391394,-0.14643926335843238,0.0002111685783727212,0.005068045880945309,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,6,svr,302,730,0.899680300285423,0.9538679380113955,-0.10810124285584688,0.006234388297880242,0.08728143617032338,False,không khác
E1->E2,E2->E1,N1,12,lr,302,730,1.0310414113408704,1.147323345680348,-0.1552299736913726,8.576224776816691e-05,0.0023155806897405067,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,12,ridge,302,730,1.0310414137991586,1.1473233520965846,-0.1552299736913726,8.576224776816691e-05,0.0023155806897405067,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,12,rf,302,730,0.9361918244648081,1.0337579036224955,-0.182863104418035,3.711687345024443e-06,0.00011877399504078217,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,12,xgb,302,730,0.9537484855219724,1.0571610124429878,-0.17666696906468293,7.817424184585633e-06,0.0002423401497221546,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N1,12,svr,302,730,0.9530262208100863,0.9963195527277503,-0.0951737276603466,0.016036462354765572,0.16036462354765574,False,không khác
E1->E2,E2->E1,N2,1,lr,302,730,1.2571089210355022,1.211559236477242,0.10293930871813473,0.009198730277007041,0.11038476332408449,False,không khác
E1->E2,E2->E1,N2,1,ridge,302,730,1.2569432822057145,1.211559146390337,0.10245849587226719,0.009530540500135081,0.11038476332408449,False,không khác
E1->E2,E2->E1,N2,1,rf,302,730,1.070440242345736,1.113231825353348,-0.10587861743626958,0.0073852855507677015,0.09600871215998012,False,không khác
E1->E2,E2->E1,N2,1,xgb,302,730,1.0780916127039317,1.1410318486154556,-0.11677401796244213,0.003130330626659447,0.05116891643455495,False,không khác
E1->E2,E2->E1,N2,1,svr,302,730,0.9694014878953223,0.9762999916276265,-0.024594030663158795,0.5338151081337561,1.0,False,không khác
E1->E2,E2->E1,N2,6,lr,302,730,1.06671758217691,1.064523705741655,-0.04214823550757507,0.2862562993858305,1.0,False,không khác
E1->E2,E2->E1,N2,6,ridge,302,730,1.0667175789986882,1.0645236858527005,-0.04214823550757507,0.2862562993858305,1.0,False,không khác
E1->E2,E2->E1,N2,6,rf,302,730,1.0296895504391312,1.0784771275143286,-0.516120838247301,5.617491469898589e-39,2.9210955643472662e-37,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N2,6,xgb,302,730,1.0917804692052007,1.1266826981223943,-0.20361063231425203,2.5788140062390665e-07,9.541611823084546e-06,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N2,6,svr,302,730,1.0444676109054296,1.0939671819462815,-0.22426744080558836,1.3903900877051909e-08,5.700599359591282e-07,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N2,12,lr,302,730,1.0446128159343775,1.066763263135188,-0.1910913544407149,1.3307397292402916e-06,4.657589052341021e-05,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N2,12,ridge,302,730,1.0446128111121311,1.0667632570123153,-0.1910913544407149,1.3307397292402916e-06,4.657589052341021e-05,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N2,12,rf,302,730,1.0463659812424893,1.0478665708254407,-0.08632858568447788,0.02894209866982535,0.26047888802842817,False,không khác
E1->E2,E2->E1,N2,12,xgb,302,730,1.1280931439031665,1.1284896574773429,-0.043799328676403904,0.2677978199523795,1.0,False,không khác
E1->E2,E2->E1,N2,12,svr,302,730,1.0611819619202296,1.0775903029915699,-0.1117935226344915,0.004674938064858365,0.07012407097287549,False,không khác
