nguon,dich,h,model,so_sanh,n_chuoi,mae_p50_N0,mae_p50_Nk,hieu_p50,n_tot_hon_N0,p,p_holm,co_y_nghia,ket_luan
E2,E1,6,xgb,N1_vs_N0,735,0.6449601151838451,0.4694971253756875,-0.038057333324278894,480,0.9124640490670493,0.9124640490670493,False,không khác
E2,E1,6,xgb,N2_vs_N0,735,0.6449601151838451,0.578444617624426,-0.006001326641597304,396,1.004883263529607e-07,6.029299581177643e-07,True,tốt hơn N0
E2,E1,12,lr,N1_vs_N0,735,1.2949032038385662,0.4950393956319753,-0.7699882630072249,531,1.5054756251608615e-09,7.527378125804308e-09,True,tốt hơn N0
E2,E1,12,lr,N2_vs_N0,735,1.2949032038385662,0.5074704794751841,-0.9142180341191334,668,3.0193310037283687e-90,3.0193310037283688e-89,True,tốt hơn N0
E2,E1,12,rf,N1_vs_N0,735,0.6784341346601709,0.4821657120734747,-0.0742011968806652,542,1.2997688525982737e-13,7.798613115589642e-13,True,tốt hơn N0
E2,E1,12,rf,N2_vs_N0,735,0.6784341346601709,0.4807761511295752,-0.06877030543024489,580,2.4732960035367723e-44,1.978636802829418e-43,True,tốt hơn N0
E2,E1,12,ridge,N1_vs_N0,735,1.2949032379947287,0.4950394038136345,-0.7699882931327104,531,1.5054756251608615e-09,7.527378125804308e-09,True,tốt hơn N0
E2,E1,12,ridge,N2_vs_N0,735,1.2949032379947287,0.5074704752343144,-0.91421808757624,668,3.0193310037283687e-90,3.0193310037283688e-89,True,tốt hơn N0
E2,E1,12,svr,N1_vs_N0,735,0.402192642779224,0.4237623561118863,-0.0117687085947758,432,0.07489181779042456,0.14978363558084912,False,không khác
E2,E1,12,svr,N2_vs_N0,735,0.402192642779224,0.5075600657350008,0.005167999034751694,347,0.9835118162780172,0.9835118162780172,False,không khác
E2,E1,12,xgb,N1_vs_N0,735,0.6719645905969155,0.5025361855105711,-0.07339981624084235,535,6.105497112807154e-09,1.8316491338421464e-08,True,tốt hơn N0
E2,E1,12,xgb,N2_vs_N0,735,0.6719645905969155,0.5246107134546399,-0.03872628289785869,498,1.070367876423765e-17,7.492575134966355e-17,True,tốt hơn N0
E2,E3,1,lr,N1_vs_N0,497,4.368926280303651,4.313039851385895,-0.06259469608974566,301,0.06488349169942233,0.2595339667976893,False,không khác
E2,E3,1,lr,N2_vs_N0,497,4.368926280303651,4.387144064802588,0.03646328436682822,164,0.1383239657260589,0.2766479314521178,False,không khác
E2,E3,1,rf,N1_vs_N0,497,4.388037373587233,4.3594425166809225,-0.0321142292516674,292,0.0007262453334040993,0.0036312266670204965,True,tốt hơn N0
E2,E3,1,rf,N2_vs_N0,497,4.388037373587233,4.219495606743277,-0.14499814933564714,415,2.1536740542515697e-56,1.7229392434012558e-55,True,tốt hơn N0
E2,E3,1,ridge,N1_vs_N0,497,4.368926299529394,4.3130398285169,-0.06259476568823796,301,0.06488349169942233,0.2595339667976893,False,không khác
E2,E3,1,ridge,N2_vs_N0,497,4.368926299529394,4.387144055213674,0.03646331556129834,164,0.1383239657260589,0.2766479314521178,False,không khác
E2,E3,1,svr,N1_vs_N0,497,4.442341484677047,4.474575172258153,0.017107884755330538,225,7.167923704752558e-06,4.3007542228515346e-05,True,tệ hơn N0
E2,E3,1,svr,N2_vs_N0,497,4.442341484677047,4.131227335745896,-0.30366647803006064,483,1.464215566742974e-80,1.464215566742974e-79,True,tốt hơn N0
E2,E3,1,xgb,N1_vs_N0,497,4.522794827671041,4.359151688104549,-0.12861806615708282,371,6.228259970150047e-26,4.359781979105033e-25,True,tốt hơn N0
E2,E3,1,xgb,N2_vs_N0,497,4.522794827671041,4.1484675513120415,-0.3264800221607933,468,1.325759949432311e-78,1.1931839544890799e-77,True,tốt hơn N0
E2,E3,6,lr,N1_vs_N0,497,5.863602842620924,5.728512235814833,-0.11845451588432176,338,1.466287380416494e-10,1.0264011662915458e-09,True,tốt hơn N0
E2,E3,6,lr,N2_vs_N0,497,5.863602842620924,6.405166204001668,0.5457334383656907,156,3.17664805345489e-10,1.5883240267274451e-09,True,tệ hơn N0
E2,E3,6,rf,N1_vs_N0,497,5.890036028664047,5.914081422437678,-0.034173970073292814,277,0.044139604587208954,0.044139604587208954,True,tốt hơn N0
E2,E3,6,rf,N2_vs_N0,497,5.890036028664047,6.539009054540018,0.6182911286398651,145,2.367392518206077e-15,1.8939140145648616e-14,True,tệ hơn N0
E2,E3,6,ridge,N1_vs_N0,497,5.863603060258954,5.728512209216124,-0.11845451555433684,338,1.466287380416494e-10,1.0264011662915458e-09,True,tốt hơn N0
E2,E3,6,ridge,N2_vs_N0,497,5.863603060258954,6.405166127172016,0.5457337332901222,156,3.17664805345489e-10,1.5883240267274451e-09,True,tệ hơn N0
E2,E3,6,svr,N1_vs_N0,497,6.093271115907268,6.112483724517253,0.01729591924262419,223,0.0006428082884285086,0.001928424865285526,True,tệ hơn N0
E2,E3,6,svr,N2_vs_N0,497,6.093271115907268,6.5062348270695365,0.4003810253364213,139,1.059939836596861e-21,9.539458529371748e-21,True,tệ hơn N0
E2,E3,6,xgb,N1_vs_N0,497,6.012459323243364,5.910546423733187,-0.07571748889161611,311,0.00656835942629754,0.01313671885259508,True,tốt hơn N0
E2,E3,6,xgb,N2_vs_N0,497,6.012459323243364,6.547727101269082,0.5397069055544739,127,1.9735606657393984e-30,1.9735606657393983e-29,True,tệ hơn N0
E2,E3,12,lr,N1_vs_N0,497,6.590042124316434,6.532834003893745,-0.10021286359616877,328,3.0575110621153816e-10,2.7517599559038436e-09,True,tốt hơn N0
E2,E3,12,lr,N2_vs_N0,497,6.590042124316434,7.150604501471056,0.4534753300484473,154,0.017703276474940122,0.05310982942482037,False,không khác
E2,E3,12,rf,N1_vs_N0,497,6.640651115316835,6.585130124941583,-0.033776812486271623,266,0.012178165764149877,0.048712663056599506,True,tốt hơn N0
E2,E3,12,rf,N2_vs_N0,497,6.640651115316835,7.173387399411769,0.38463574048173843,180,0.0006224959946837342,0.0031124799734186708,True,tệ hơn N0
E2,E3,12,ridge,N1_vs_N0,497,6.590042025388958,6.532833950923251,-0.10021319409172946,328,3.0575110621153816e-10,2.7517599559038436e-09,True,tốt hơn N0
E2,E3,12,ridge,N2_vs_N0,497,6.590042025388958,7.150604496682496,0.4534751729486528,154,0.017703276474940122,0.05310982942482037,False,không khác
E2,E3,12,svr,N1_vs_N0,497,6.656156358706236,6.569864476022909,0.006120562656509065,244,0.2491558277969762,0.2491558277969762,False,không khác
E2,E3,12,svr,N2_vs_N0,497,6.656156358706236,7.158842459379337,0.4564494808301749,113,2.6238916213358572e-39,2.6238916213358574e-38,True,tệ hơn N0
E2,E3,12,xgb,N1_vs_N0,497,6.842108278154385,6.673953703042606,-0.08833720239629983,298,3.2788182899240956e-06,2.295172802946867e-05,True,tốt hơn N0
E2,E3,12,xgb,N2_vs_N0,497,6.842108278154385,7.231713876456706,0.2901643338256452,181,1.3060638291080178e-05,7.836382974648107e-05,True,tệ hơn N0
E3,E1,1,lr,N1_vs_N0,735,1.236473721201912,0.7108878257054221,-0.6470641768743436,531,2.8911570406328583e-31,5.782314081265717e-31,True,tốt hơn N0
E3,E1,1,lr,N2_vs_N0,735,1.236473721201912,0.7348372278429071,-0.5640079516229359,697,6.499903077533231e-99,4.549932154273261e-98,True,tốt hơn N0
E3,E1,1,rf,N1_vs_N0,735,1.3493651982189143,0.6387874727214782,-0.2990883339287733,600,4.6612520002136505e-46,1.8645008000854602e-45,True,tốt hơn N0
E3,E1,1,rf,N2_vs_N0,735,1.3493651982189143,0.4341188405096639,-0.7312714517969416,710,4.768678600279761e-120,4.2918107402517854e-119,True,tốt hơn N0
E3,E1,1,ridge,N1_vs_N0,735,1.2396796553244134,0.7124712133634827,-0.6471916101029223,529,1.3949533230321783e-30,1.3949533230321783e-30,True,tốt hơn N0
E3,E1,1,ridge,N2_vs_N0,735,1.2396796553244134,0.7348790180617959,-0.5666800462391703,698,3.73085535645839e-99,2.984684285166712e-98,True,tốt hơn N0
E3,E1,1,svr,N1_vs_N0,735,0.669980790531732,0.5878814799456161,-0.026153264652933397,495,6.7971077089492e-33,2.0391323126847598e-32,True,tốt hơn N0
E3,E1,1,svr,N2_vs_N0,735,0.669980790531732,0.4984643114848069,-0.14246911696781678,532,6.291519027149123e-63,3.1457595135745614e-62,True,tốt hơn N0
E3,E1,1,xgb,N1_vs_N0,735,1.0702210770587175,9.393182283469384,2.3519075514519585,197,1.929563643905982e-75,1.1577381863435892e-74,True,tệ hơn N0
E3,E1,1,xgb,N2_vs_N0,735,1.0702210770587175,0.6644767411017292,-0.35203000088789804,725,1.2752602157764369e-120,1.275260215776437e-119,True,tốt hơn N0
E3,E1,6,lr,N1_vs_N0,735,3.2853070781931613,1.7720413533636197,-1.421279493809693,436,0.004963282365023733,0.009926564730047466,True,tốt hơn N0
