env,lag,acf_p50,acf_p25,acf_p75,pacf_p50,bo_cap_pct
E1,295,0.028882,-0.020325,0.107339,,1.636784
E1,296,0.020698,-0.018846,0.097669,,1.637599
E1,297,0.016233,-0.02305,0.088794,,1.638415
E1,298,0.018861,-0.025004,0.087954,,1.639232
E1,299,0.026013,-0.021517,0.091425,,1.64005
E1,300,0.047187,-0.008153,0.187764,,1.640868
E2,0,1.0,1.0,1.0,,0.308562
E2,1,0.643063,0.226748,0.891476,0.642784,0.352549
E2,2,0.511891,0.121365,0.824317,0.038868,0.396574
E2,3,0.407997,0.111533,0.746033,0.104076,0.440638
E2,4,0.423335,0.142209,0.718182,0.051413,0.479845
E2,5,0.344018,0.062779,0.663598,0.031608,0.5139
E2,6,0.341414,0.064848,0.628596,0.044454,0.542222
E2,7,0.305447,0.067467,0.590976,0.016586,0.565811
E2,8,0.310104,0.078301,0.600262,0.023785,0.584951
E2,9,0.270294,0.052974,0.579062,0.01619,0.598479
E2,10,0.245766,0.074429,0.594886,0.020492,0.609133
E2,11,0.213007,0.050093,0.55981,0.011428,0.616041
E2,12,0.297832,0.113627,0.591735,0.043989,0.620355
E2,13,0.196012,0.045175,0.552155,-0.004444,0.620626
E2,14,0.171183,0.034735,0.542598,0.003383,0.620897
E2,15,0.152721,0.029391,0.506342,0.003232,0.621168
E2,16,0.176045,0.033334,0.517224,0.00085,0.62144
E2,17,0.135468,0.019829,0.484166,0.004006,0.621712
E2,18,0.157745,0.029176,0.5188,0.01738,0.621984
E2,19,0.13447,0.019716,0.459978,0.008828,0.622256
E2,20,0.138715,0.031073,0.508499,0.0094,0.622528
E2,21,0.109053,0.012701,0.474917,-0.000404,0.622801
E2,22,0.126557,0.010091,0.486567,0.002845,0.623074
E2,23,0.11185,0.008572,0.467527,0.005707,0.623347
E2,24,0.198186,0.033402,0.52334,0.0203,0.62362
E2,25,0.102459,0.008471,0.452011,-0.009466,0.623894
E2,26,0.107002,0.005295,0.472304,-0.000767,0.624168
E2,27,0.088348,0.00155,0.40714,-0.00346,0.624442
E2,28,0.104033,0.011024,0.452505,-0.00103,0.624716
E2,29,0.101644,0.001105,0.40435,-0.000417,0.624991
E2,30,0.102582,-9.4e-05,0.446742,0.002378,0.625266
