env,h,model,tang,metric,p25,p50,p75,iqr,n_chuoi,n_loai,cv_p50,ti_le_cham_chan_p50
E3,1,ma6,vua,smape,11.6708097723802,12.712927435750176,13.552873173934476,1.8820634015542765,165,0,0.285999,0.233127
E3,1,ma6,vua,mase,1.084783980594627,1.152663625632712,1.2105368773579344,0.12575289676330725,165,0,0.285999,0.233127
E3,1,ma6,vua,r2,0.5036601068121218,0.5624448538247766,0.755321529730743,0.25166142291862115,165,0,0.285999,0.233127
E3,1,ma6,cao,mae,5.013503708952685,5.289509487797927,5.553604212616438,0.5401005036637532,166,0,0.3644935,0.2653765
E3,1,ma6,cao,rmse,6.777894803175551,7.401082737052519,8.543891044503567,1.7659962413280166,166,0,0.3644935,0.2653765
E3,1,ma6,cao,smape,13.5268776377001,15.265981302989447,17.42756508106669,3.9006874433665892,166,0,0.3644935,0.2653765
E3,1,ma6,cao,mase,1.0607043413016313,1.150488657038626,1.2197314601250546,0.15902711882342335,166,0,0.3644935,0.2653765
E3,1,ma6,cao,r2,0.5444782817875432,0.6184004617180558,0.7992939314898196,0.25481564970227644,166,0,0.3644935,0.2653765
E3,1,seasonal,thap,mae,6.259431538309066,6.705098981161742,7.334729673312843,1.0752981350037771,166,0,0.22706199999999999,0.206012
E3,1,seasonal,thap,rmse,7.885580108326124,8.479809882604709,9.241788544500059,1.3562084361739348,166,0,0.22706199999999999,0.206012
E3,1,seasonal,thap,smape,13.703734831009974,15.31149444584116,17.008130930852218,3.3043960998422435,166,0,0.22706199999999999,0.206012
E3,1,seasonal,thap,mase,1.5188307719141922,1.6270450389725326,1.8247895384559756,0.30595876654178333,166,0,0.22706199999999999,0.206012
E3,1,seasonal,thap,r2,-0.046890254306461925,0.1167227026853537,0.23835978175529984,0.28525003606176175,166,0,0.22706199999999999,0.206012
E3,1,seasonal,vua,mae,6.9401437425793295,7.623393954044643,11.224095233454802,4.283951490875473,165,0,0.285999,0.233127
E3,1,seasonal,vua,rmse,8.986048186066094,9.765142364771402,18.20995463668482,9.223906450618726,165,0,0.285999,0.233127
E3,1,seasonal,vua,smape,17.966988344030955,19.70257938500435,23.106815939954,5.139827595923045,165,0,0.285999,0.233127
E3,1,seasonal,vua,mase,1.5685310696946764,1.6673469114992128,2.571984883283356,1.0034538135886795,165,0,0.285999,0.233127
E3,1,seasonal,vua,r2,-0.414447958114875,0.014221276166851,0.1829483434273139,0.5973963015421889,165,0,0.285999,0.233127
E3,1,seasonal,cao,mae,7.132905632726345,8.791190858547234,15.67295120630727,8.540045573580924,166,0,0.3644935,0.2653765
E3,1,seasonal,cao,rmse,9.409163187871304,11.763822445467472,25.33892495971279,15.929761771841488,166,0,0.3644935,0.2653765
E3,1,seasonal,cao,smape,22.87319960980927,28.043886811396547,33.13096082771628,10.25776121790701,166,0,0.3644935,0.2653765
E3,1,seasonal,cao,mase,1.5242536861060194,1.8544377878366993,3.615058817430074,2.0908051313240548,166,0,0.3644935,0.2653765
E3,1,seasonal,cao,r2,-0.5236619064769514,-0.16909203050118898,0.18260910094371297,0.7062710074206644,166,0,0.3644935,0.2653765
E3,1,lr,thap,mae,3.6288632923087225,3.8378065768605056,4.052406568240344,0.42354327593162155,166,0,0.22706199999999999,0.206012
E3,1,lr,thap,rmse,4.764914520432631,5.017397404999507,5.249458079927108,0.4845435594944769,166,0,0.22706199999999999,0.206012
E3,1,lr,thap,smape,7.938428689207015,8.82026192986243,9.639940900443504,1.7015122112364889,166,0,0.22706199999999999,0.206012
E3,1,lr,thap,mase,0.8907502128426233,0.9323355848569794,0.9775765829726212,0.08682637012999783,166,0,0.22706199999999999,0.206012
E3,1,lr,thap,r2,0.6638238281606286,0.6998749290787831,0.7378470001533666,0.074023171992738,166,0,0.22706199999999999,0.206012
E3,1,lr,vua,mae,3.9591212211688975,4.092858030395128,4.271552316404754,0.3124310952358562,165,0,0.285999,0.233127
E3,1,lr,vua,rmse,5.18132260895555,5.4170167821423325,5.688596047847189,0.5072734388916391,165,0,0.285999,0.233127
