env,mode,series_id,mu,sd,n_dong_train
E1,N1,E1_285,44.985981625900976,46.583005397651185,1612
E1,N2,E1_285,,,1612
E1,N0,E1_286,,,1612
E1,N1,E1_286,22.153851754204577,37.87576766738274,1612
E1,N2,E1_286,,,1612
E1,N0,E1_287,,,1612
E1,N1,E1_287,45.42862146254283,45.72619386906873,1612
E1,N2,E1_287,,,1612
E1,N0,E1_288,,,1612
E1,N1,E1_288,22.499623175883258,37.704253881383764,1612
E1,N2,E1_288,,,1612
E1,N0,E1_289,,,1612
E1,N1,E1_289,46.70541271564457,46.79537877607599,1612
E1,N2,E1_289,,,1612
E1,N0,E1_290,,,1612
E1,N1,E1_290,22.926552530131158,38.53320503572618,1612
E1,N2,E1_290,,,1612
E1,N0,E1_291,,,1612
E1,N1,E1_291,46.179306060203245,46.846292810107606,1612
E1,N2,E1_291,,,1612
E1,N0,E1_292,,,1612
E1,N1,E1_292,19.806001072180507,35.72605339279489,1612
E1,N2,E1_292,,,1612
E1,N0,E1_293,,,1612
E1,N1,E1_293,20.29338166873449,35.972277772151365,1612
E1,N2,E1_293,,,1612
E1,N0,E1_294,,,1612
E1,N1,E1_294,16.039468310587264,32.10123291523124,1612
E1,N2,E1_294,,,1612
E1,N0,E1_295,,,1612
E1,N1,E1_295,16.70109992364955,23.266051292415206,1612
E1,N2,E1_295,,,1612
E1,N0,E1_296,,,1612
E1,N1,E1_296,6.265818590012138,5.6804074248785295,1612
E1,N2,E1_296,,,1612
E1,N0,E1_297,,,1612
E1,N1,E1_297,3.193947248987572,3.206558197788339,1612
E1,N2,E1_297,,,1612
E1,N0,E1_298,,,1612
E1,N1,E1_298,1.5541962070187876,0.4636676817238187,1612
E1,N2,E1_298,,,1612
E1,N0,E1_299,,,1612
E1,N1,E1_299,1.487392446263414,0.2989014846650943,1612
E1,N2,E1_299,,,1612
E1,N0,E1_3,,,1612
E1,N1,E1_3,3.2163284296348813,0.3002917529322396,1612
E1,N2,E1_3,,,1612
E1,N0,E1_301,,,1612
E1,N1,E1_301,1.50677387129,0.7549062672845593,1612
E1,N2,E1_301,,,1612
E1,N0,E1_302,,,1612
E1,N1,E1_302,1.5449944802922473,0.6128268666010993,1612
E1,N2,E1_302,,,1612
E1,N0,E1_305,,,1612
E1,N1,E1_305,12.459502594180014,0.4383615261886051,1612
E1,N2,E1_305,,,1612
E1,N0,E1_306,,,1612
E1,N1,E1_306,1.0094170097892183,0.5377516623467165,1612
E1,N2,E1_306,,,1612
E1,N0,E1_31,,,1612
E1,N1,E1_31,1.4085043988269794,0.5720000211224859,1612
E1,N2,E1_31,,,1612
E1,N0,E1_315,,,1612
E1,N1,E1_315,1.19408688309898,0.32489900873442157,1612
E1,N2,E1_315,,,1612
E1,N0,E1_317,,,1612
E1,N1,E1_317,1.0270885028949546,0.3739531649940885,1612
E1,N2,E1_317,,,1612
E1,N0,E1_319,,,1612
E1,N1,E1_319,2.0857940446650125,1.194783046505145,1612
