env,h,model,ung_vien,fold,n_train,n_val,mae_p50_val,giay
E2,12,ridge,"{""alpha"": 1.0}",1,485176,17214,1.2348478997874464,0.2
E2,12,ridge,"{""alpha"": 1.0}",2,506014,17214,0.7964333011193782,0.2
E2,12,ridge,"{""alpha"": 1.0}",3,526852,17214,1.0255861039747272,0.2
E2,12,ridge,"{""alpha"": 1.0}",4,547690,17214,1.6580689343792654,0.2
E2,12,ridge,"{""alpha"": 10.0}",0,464338,17214,1.4638146054675008,0.2
E2,12,ridge,"{""alpha"": 10.0}",1,485176,17214,1.2351163842042072,0.2
E2,12,ridge,"{""alpha"": 10.0}",2,506014,17214,0.796616958715364,0.2
E2,12,ridge,"{""alpha"": 10.0}",3,526852,17214,1.0258691570215055,0.2
E2,12,ridge,"{""alpha"": 10.0}",4,547690,17214,1.6582037663599205,0.2
E2,12,ridge,"{""alpha"": 100.0}",0,464338,17214,1.4656497634642305,0.2
E2,12,ridge,"{""alpha"": 100.0}",1,485176,17214,1.2376833826692266,0.2
E2,12,ridge,"{""alpha"": 100.0}",2,506014,17214,0.7984176464048942,0.2
E2,12,ridge,"{""alpha"": 100.0}",3,526852,17214,1.02831391117029,0.2
E2,12,ridge,"{""alpha"": 100.0}",4,547690,17214,1.659517787353337,0.2
E2,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",0,464338,17214,0.7899239406251071,3.0
E2,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",1,485176,17214,0.5004290582143771,3.3
E2,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",2,506014,17214,0.5039345145922656,3.4
E2,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3,526852,17214,0.6683552507768598,3.5
E2,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4,547690,17214,0.6923442027722186,3.8
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0,464338,17214,0.6282899739449483,4.7
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",1,485176,17214,0.4808124379107826,5.1
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",2,506014,17214,0.581810943006772,6.6
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",3,526852,17214,0.5571579862059208,6.1
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",4,547690,17214,0.653288914167393,5.8
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0,464338,17214,0.6501164210470101,9.7
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",1,485176,17214,0.4923847945112931,72.3
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",2,506014,17214,0.5944907945499085,10.3
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",3,526852,17214,0.6066017037224875,12.5
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",4,547690,17214,0.6581065005726284,12.5
E3,1,lr,{},0,596549,33728,2.408464483379753,0.5
E3,1,lr,{},1,630773,33627,3.397770119551632,0.5
E3,1,lr,{},2,664896,33432,5.032976057982429,0.5
E3,1,lr,{},3,698816,33347,4.200082314409381,0.6
E3,1,lr,{},4,732657,33570,3.7870633476726745,0.6
E3,1,ridge,"{""alpha"": 0.01}",0,596549,33728,2.408459841229772,0.3
E3,1,ridge,"{""alpha"": 0.01}",1,630773,33627,3.397733445164317,0.3
E3,1,ridge,"{""alpha"": 0.01}",2,664896,33432,5.0330841878203625,0.3
E3,1,ridge,"{""alpha"": 0.01}",3,698816,33347,4.200129549337287,0.3
E3,1,ridge,"{""alpha"": 0.01}",4,732657,33570,3.786880859287305,0.4
E3,1,ridge,"{""alpha"": 0.1}",0,596549,33728,2.4084617766276493,0.3
E3,1,ridge,"{""alpha"": 0.1}",1,630773,33627,3.39773291222867,0.3
E3,1,ridge,"{""alpha"": 0.1}",2,664896,33432,5.033083907327917,0.3
E3,1,ridge,"{""alpha"": 0.1}",3,698816,33347,4.200132129867791,0.3
E3,1,ridge,"{""alpha"": 0.1}",4,732657,33570,3.7868817568631328,0.4
E3,1,ridge,"{""alpha"": 1.0}",0,596549,33728,2.408467975510706,0.3
E3,1,ridge,"{""alpha"": 1.0}",1,630773,33627,3.397729868885631,0.3
E3,1,ridge,"{""alpha"": 1.0}",2,664896,33432,5.033054006833172,0.4
E3,1,ridge,"{""alpha"": 1.0}",3,698816,33347,4.200117432063621,0.4
E3,1,ridge,"{""alpha"": 1.0}",4,732657,33570,3.786869527392487,0.4
E3,1,ridge,"{""alpha"": 10.0}",0,596549,33728,2.408523484965769,0.3
E3,1,ridge,"{""alpha"": 10.0}",1,630773,33627,3.397700248883333,0.3
E3,1,ridge,"{""alpha"": 10.0}",2,664896,33432,5.032844983862413,0.3
