nguon,dich,mode,lich,h,model,mae_transfer,mae_trong_moi_truong,chi_phi
E2,E1,N2,khong,6,xgb,0.5596457593415191,0.587649871308433,0.9523455830857899
E2,E3,N2,khong,6,xgb,6.523132126770912,5.423125989071503,1.2028361760202704
E2,E1,N2,khong,12,rf,0.4786619096016236,0.5938777786502205,0.8059939718396901
E2,E3,N2,khong,12,rf,7.166377151900647,5.840017988976799,1.227115595436074
E2,E1,N2,khong,12,svr,0.5033872763219394,0.4103335782668061,1.226775733168559
E2,E3,N2,khong,12,svr,7.212406086592201,6.161344447108217,1.170589657583142
E2,E1,N2,khong,12,xgb,0.5174411991739469,0.6390367810168669,0.8097205271198458
E2,E3,N2,khong,12,xgb,7.24598151588356,5.918265611187303,1.2243420609893674
E3,E1,N0,khong,1,rf,1.3350642207140058,0.384985425513396,3.4678305521141106
E3,E2,N0,khong,1,rf,1.2652264895676033,0.3911268968668533,3.2348235309378617
E3,E1,N0,khong,1,svr,0.6495803679052826,0.3781031902858683,1.7179975852998266
E3,E2,N0,khong,1,svr,0.6545255229256857,0.3642830456218155,1.7967498921297276
E3,E1,N0,khong,1,xgb,1.2496725091453822,0.3968713356350657,3.148810198513533
E3,E2,N0,khong,1,xgb,1.053349115629187,0.4105843619443219,2.56548766407238
E3,E1,N0,khong,6,rf,0.9056098381092982,0.5560619104796859,1.6286133271168948
E3,E2,N0,khong,6,rf,0.9203192495221918,0.5208661353704407,1.7669016797716357
E3,E1,N0,khong,6,svr,0.948782641284958,0.3960115456093419,2.3958459085455925
E3,E2,N0,khong,6,svr,1.0232852317099814,0.3733452642224112,2.7408549934100264
E3,E1,N0,khong,6,xgb,2.482531469039054,0.587649871308433,4.224507806853711
E3,E2,N0,khong,6,xgb,2.518042235484563,0.5464341055229878,4.6081351987987
E3,E1,N0,khong,12,rf,1.08605723791879,0.5938777786502205,1.828755472863805
E3,E2,N0,khong,12,rf,1.1097647140208111,0.5904490725716234,1.8795265596529378
E3,E1,N0,khong,12,svr,1.0773805946822286,0.4103335782668061,2.6256213279764706
E3,E2,N0,khong,12,svr,1.0988549839190176,0.3949873973233344,2.782000112827654
E3,E1,N0,khong,12,xgb,2.650759976183004,0.6390367810168669,4.148055409212884
E3,E2,N0,khong,12,xgb,2.4468728952909413,0.7063360412835058,3.4641767547988214
E3,E1,N1,khong,1,rf,0.637453069114333,0.384985425513396,1.6557849385188015
E3,E2,N1,khong,1,rf,0.6733350447028782,0.3911268968668533,1.721525801719777
